,text,score
21,"어플을 편리하게 잘 쓰고 있습니다. 다만 검색시, 오류가 있습니다. 홈화면에서 처음 검색시에는 문제가 없지만 검색 후 창을 뒤로가기 하지않고 재 검색시 입력에 오류가 있습니다. 예를 들어, ㄱ을 한 번 입력하면 ㄱㄱ으로 두번 입력이 되고, ㅜ를 입력하면 ㄱ으로 입력이 됩니다. 이때 홈화면으로 돌아가면 문제가 없어집니다.",4
22,배민 어플 잘 이용하는 중입니다. 근데 배달기사 잘못인데도 배달기사 평가를 할수가 없어서 잘못없는 음식점이 피해를 받는경우도 종종있고 음식점 별점을 깍을순 없으니 억울하지만 그냥 넘어가는 경우가 생깁니다. 특히 배민 1에는 배달기사 평가가 생겼으면 좋겠네요 그리고 요청사항 저장을 음식점마다 다르게 저장하는 기능도 생겼으면 좋겠습니다. 맨날 시키는 곳이 다르니 저장을 해도 다시 써야하는 경우가 많네요,3
23,"결제취소가 너무 어렵습니다. 가게에 전화하니 본인들도 취소할 수 없다며 제가 배민에 전화를 해서 취소를 해야한다합니다. 앱에서 배민번호를 찾는 것도 어렵고, 상담원과 연결되는 것도 시간이 한참이 걸립니다. 상담원과 연결후에는 가게와 통화하고 취소가능여부를 확인해주겠답니다. 판매자와 고객사이에 배민이 괜히 껴서 문제를 더 복잡하게 만드는 것이 이 앱의 맹점인듯합니다.",1
24,아랫분과 같은 현상을 겪고 있습니다. 처음에는 검색이 안돼서 고객센터 안내에 따라 삭제 후 다시 설치하니 로그인이 안되더니 다시 삭제 후 재설치 하니 이번엔 아예 배민로고가 나온 화면에서 넘어가지 않습니다. 사용중인 폰은 갤럭시s20fe입니다. 애플리케이션 메뉴에서 캐시삭제 데이터 삭제 폰 껐다켜보기 다 해본 상태입니다.,1
25,배민1 자체가 한번에 한 집만 이라는 슬로건으로 진행하는걸로 알고 있는데 일반 배달과 시간 차이가 거의 없습니다. 특히 어쩔 때는 예상시간보다 훌쩍 시간이 지나도 배달이 오지 않아 문의하니 배달 기사가 매칭이 안돼 음식은 다 만들어도 배달이 지연되고 결국 다 식은 음식을 받은 적이 한두번이 아닙니다. 이럴거면 왜 추가요금까지 내면서 배민1을 하는지 모르겠습니다. 한두번 일어난 일이면 그럴 수 있지 라고 생각 하겠지만 너무 자주 이런 문제들이 일어나서 더이상 사용하고 싶어지지 않을 정도네요,1
26,"나만 겪는지 모르겠는데 검색하려고 타자칠 때 예시로 와플 치려고 타자를 쳤는데 검색창엔 오까지밖에 안 쳐지고 다른 글자들은 써지지않습니다. 그래도 이것만 아니면 편하게 이용은 하고있었어서 매번 메모장같은 거 켜서 거기다가 내가 검색하고 싶은 검색어 다 쓰고 복사 붙여넣기해서 검색합니다. 키보드에 문제가 있던 것도 아니며, 배민 쓰다가 업데이트 하니까 어느새 이런 오류가 생기고, 업데이트를 몇번 더 했었는데 고쳐지지도 않는 거 같더라구요. 겪는 사람이 나밖에 없었던건지.. 뭔지 모르겠는데.. 고쳐졌음 좋겠네요. 배달시킬 때마다 매번 다른 앱 켜서 글자쓰고 복붙하고 그래서;",2
27,"뭐가 좋은건지 모르겠음. 안에서 구분하면 될걸 굳이 가게를 2개로 등록해서 배달 구분 주니까 헷갈리고, 이렇게 시키는게 전화로 주문하는거에 비해서 무슨 득이 있는건지 이해가 안 됩니다. 앱 구조도 화려하기만 하고 복잡해서 답답함. 배달비도 비싸고 최소주문금액이나 쿠폰 사용조건금액도 너무 높아서 오히려 안 사고 싶게 됨.",1
28,참 괜찮게 쓰고 있는데.. 검색결과화면에서 슬라이드로 다른 카테고리로 넘어가는 기능 민감도가 너무 높아서 불편해요 배달 카테고리 화면 아래로 내리던 중이었는데 포장으로 갑자기 넘어가고 자주 이러니까 다른 앱을 쓰게 될 정도로 영향이 있습니다 개선 바랍니다,4
29,"얘들 가만보면 아주 배가 불러서 오래전부터 사람들이 기능들 중 불편하다고 호소해온것들 개선점들 말한것들 다 무시하는듯. 답변도 무슨 알바쓰는건지 다 해당 기능은 제공되고 있지 않습니다. 이런 식의 답변인데 아니 누가 그 기능이 있는지 없는지 물어봤나요? 개선해달라고 요청한거지. 개선하도록 노력하겠다는 식의 말, 형식적일뿐인 일단덮고 얼버무리는 말일 뿐이죠. 언제까지 그렇게 고객들 무시하면서 장사하시려는지",1
30,"정말 편리하고 유용한 앱이라고 생각합니다. 하지만 쿠폰쓰려고하니 최소주문금액 2만원을 넘어야 한다네요.. 이건 본인들도 심하다고 생각하지 않으신가요? 적어도 배달비 포함해서 사용할 수 있게 해주는건 어려울까요? 배달비도 너무 비싸졌구요... 가게, 배달대행업체, 배민 앱 자체 모두 피해본다고 하던데, 이러한 시스템이 도저히 이해가 안됩니다 ㅠㅠ",1
31,배달요청사항 직접작성한 내용이 저장이 안되서 매번 작성을해야됩니다 주문내역도 wifi 네트워크 연결안되었다고 뜨구요 강제 업데이트된뒤로 어플구동도 늦고 ui 도 이전보다 직관적이지못하고 주문내역 글씨도 커져서 이전보다 화면에 노출되는 내역이 적어 스크롤을 더 해야합니다 신경좀써주세요 강제업데이트를 하게했으면,1
32,"배민1 개선좀 해주세요, 주문을 잘못해서 취소를 하려해도 취소가 안돼요 1.소비자가 주문 하고 가게에서 접수 하면 취소가 안됩니다. >이 내용은 맞다고 생각합니다. 다만, 주문 하자마자 3-5초 내로는 취소할 수 있도록 해야하는것 아닌가요? 주문버튼 잘못 눌러 취소 하려고 했는데, 주문 넣자마자 접수 되어 취소 못하게 하는게 맞는건가요..? 2.가게 전화번호를 알 수 없고 전화도 할 수 없습니다. >고객센터에선 이미 이를 인지 하고 있더라고요 1번과 같은 내용으로 취소 요청드리려고 바로 전화하려 했으나 번호를 찾지 못해서 전화연결이 늦어졌습니다. 고객센터로 전화하니 상담원 연결도 좀 걸리더라구요, 연결 되자마자 요청 드렸더니 이미 조리 들어간 상태라 취소 어렵다고 하네요, 그럼 전화 연결 바로 할 수 있도록 가게 전화를 연결 시켜두든가 일정 시간 내로 주문취소 할 수 있도록 하든가 해야하는거 아닌가요? 결국 억지로 배달받아 먹었는데 기분이 별로 안좋네요 앞으로 배민 안쓰고싶네요",1
33,장바구니에서 상호명을 클릭하면 그 가게 주문화면을 들어가지게 해주세요 예전에는 원래 상호명 클릭하면 그 가게로 들어가졌는데 어느 순간 업데이트 되더니 장바구니에 담긴 그 가게로 들어갈 수가 없어요 클릭이 안 돼요 다시 들어가서 메뉴 보려면 그 가게 이름 치고 들어가야해요 이게 뭔 비효율적인 짓입니까;;,2
34,"배달의 민족 배달의 민족을 사용하면서 주위의 식당, 배달전문점 등을 볼 수 있고 배달의 민족으로 그 식당을 찾아갈수 있어서 편하다 배달의민족은 카테고리별로 양식 , 중식 , 한식 뿐만 아니라 한국인들이많이 시켜먹는 치킨, 디저트 별로 카테고리가 정리되어있어 매우 편하게 자신이 배달할 곳과 관심있는 식당을 찾아볼 수 있다 그리고 배달의 민족은 많이 시킨순 , 배달비가 저렴한 순 , 리뷰가 가장 높은 순 으로 식당을 찾아볼수 있으며 본인 기호에 따라서 원하는 식당을 찾아서 시켜먹을수 있습니다 그리고 배달의민족은 브랜드관 이라는 카테고리가 있는데 매일매일 할인하는 매장을 보여줍니다 그리고 배달의민족은 배민1 이라는 시스템을 사용하면서 배달 오는 위치를 보여주는 배달 시스템도 사용하고 있어서 매우 다양한 시스템과 편리한 이용으로 앱 사용이 간편합니다 이것뿐만 아니라 배민라이브이벤트 , 선물하기 등등 다양한 시스템으로 남녀노소 쉽게 앱을 사용할수 있게 만들었고 쉽게 배달이용 가능",4
35,대체 업데이트를 왜 이따위로 하는겁니까? 제일많이 쓰는 기능중하나가 라이더에게 메시지남기는거 공동현관 비밀번호 적어두는건데 업데이트 하라고하라고 계속해도 안하니까강제로 쳐업데이크 시키고는 뭔이상한 주소별 라이더님에게 기능같은거나 쳐넣어서 시킬때마다 공동현관비밀번호를 다시치게만드는겁니까? 이럴거면 과거버전으로 롤백이나 할수있게만드시던가. 기능을고치시던가. 아오,1
36,"메뉴별 리뷰 조회가 가능했으면 좋겠습니다. 결정에 불편합니다. 어차피 ""나 이거 먹고 싶은데 사람들이 뭐라고 했지?"" 하면서 필요한 것만 선별적으로 읽게 되는데 그 과정에서 스크롤링이 매우 귀찮습니다. 특정 메뉴에 대해 단순 기호 표현/매장이 기재하지 않은 재료를 알리는(알레르기 등) 리뷰들을 주로 필요로 하는 고객도 해당 기능으로 더 만족스러운 경험을 할 것으로 보입니다.",3
37,업데이트란건 불편사항과 버그들을 고쳐서 더좋은 사용을 위한거 아닌가요? 어떻게 업데이트를 했는데 저번보다 메뉴들이 더복잡하고 불편하고 난잡합니다. 심지어 배달현황에 위치파악이 가능하던게 사라져서 배달이 어디에있는지 언제쯤올지도 모르면서 기다려야합니다. 괜히 업데이트 했나싶기도하고 굳이 내가 이런 불편함들을 감수하면서까지 어플을 사용해야하나라는 생각도 드네요. 업데이트전까지는 정말 잘사용했는데 다음 업데이트가있기전까지는 사용하지 않을거같네요,1
38,"가입해지 하려고 하는데 통신사 가입사실원 발급이 불가능한 상황입니다 통신사 옮기면서 번호도 바뀌었는데 옮기기 전 통신사에 문의한 결과 해지회선이 6개월이 지나서 발급 불가능하답니다. 현재 번호로 가입증명원 발급 받은걸로는 해지 안된다 하시고, 전에 쓰던 번호는 증명원 발급이 불가능하고... 다른 방법 없습니까? 탈퇴 결국 못하는 건가요?",2
39,"맛집 동네 검색 있음 좋겠음 메뉴 종류 선택 장애 들을 위해서요 글이 잘못 전달 된거 같아 추가 작성합니다. 우리동네 맛집 검색은 있는데, 상호를 알아야만 검색할수 있습니다. 상호 검색은 우리 동네에 무슨 맛집이 있는지 알때 하는거자나요 제말은 검색어 없이 위치 기반으로 주변에 등록된 맛집들을 보여주면 그중에서 선택 할 수 있는 기능을 얘기한겁니다.",3
40,"배민 쭉 써왔고 쓴소리 하나 하려합니다. 중간다리 플랫폼으로서 식당/유저 사이 중재자 역할을 하는 것이라면, 양쪽의 편의성을 제고하는 방향이어야죠. 전체 주문 중 일부 음식만 이상이 있어서 부분환불을 원하는데, 일부취소가 매우 복잡하게 되어 있는 시스템이라(재주문 필요) 식당이 일부취소를 포기하게 만드시네요? 전체 환불해주시겠다는데 그건 말도 안되게 식당 손해이신 것 같아서, 식당과 직접 전화해서 해결하는 중인데요. 앱 개선 제대로 하세요. --- 답변 보고 리뷰 보충하는데요. 저는 지금 고객센터 활용법을 문의/cs 센터에 불만을 제기하는게 아니라(실시간채팅 저도 알아요), 주문 내용의 일부취소가 되지 않고 전체취소 -> 재주문 이라는 방식을 통해 실질적인 일부취소를 우회적으로 만들어내야 하는 현 시스템 개선을 요구하는 것입니다. 우회적으로 일부취소를 해야하는 번거로움 때문에 여러 음식 중 하나의 음식에만 문제가 있는 경우라도, 전체취소를 해서 식당이 손해를 보고 있는 현실이에요",1
41,"정말 잘 쓰고있는데요, 결제 페이지에서 결제 실패하고 돌아오면 쿠폰 사용 설정이 초기화되면서 못쓰는 경우가 자주 있습니다. 결제 실패해도 해당 화면에 요청사항이랑 쿠폰 설정한 내역은 남아있으면 좋겠습니다. 처음부터 안쓸 생각으로 주문하면 모르겠는데 쓰려고 생각하다가 그런식으로 못쓰게되면 매우 기분이 나쁩니다",3
42,"업데이트에 불만이 있습니다. 기존 버전에선 배민오더로 주문할 시 지도를 이용해 주문할 매장을 선택할 수 있었습니다. 저는 집 근처에 음식점이 별로 없는 관계로 주로 자전거를 타고 20분정도 거리의 상가의 매장에서 주문하는데, 업데이트 이후로 지도를 이용한 주문 대신 집 주변에있는 음식점들의 리스트에서만 주문이 가능해졌습니다. 물론 기존 배민 오더의 지도를 이용한 주문 방식이 음식점을 카테고리별로 분류하지 못 하는점을 보완해야할 필요가 있었던것은 맞으며 이를 잘 보완했지만, 기존 지도 방식을 완전히 없애버려서 저 같은 경우에는 업데이트 이후 더 불편해졌습니다. 기존 방식의 단점을 메꾸는 시도는 좋지만, 기존 방식이 갖는 장점을 아예 없애버리면 업데이트한 의미가 없다고 봅니다. 가장 나은 해결책은 지도 방식과 리스트 방식 둘 다 이용 가능하게 하는 방법이겠지만, 어플이 무거워지는걸 고려하면 기존 지도 방식을 사용하되 따로 필터링을 두어 이용자가 원하는 종류의 음식만 볼 수있게 하는편이",1
43,이번에 메인화면 ui구조가 상당히 불편하게 바뀐 것 같습니다. 특히 이전에는 제가 시켰던 음식 목록을 한번에 찾을수있어서 편했는데 바뀐 이후에는 스크롤을 내려서 음식목록이 어디있는지 찾아야된다는점이 불편한거같아요. 가게 대표메뉴를 이미지로 보여주는 방식은 더 구미를 당기게한다는점에서는 좋은데 이전 ui구조가 정보 접근성 측면에서 더 편했던거같아요 ㅠ ㅠ,3
44,"배민 최근 주문수 및 리뷰가 정확한 숫자로 뜨지 않고, 100+, 그리고 리뷰의 경우에도 최대 100+로만 떠서 맛집인지 어떤지 확인하려면 클릭을 1~2번 정도 더 해서 들어가야 하네요...주문수는 최소 10단위로는 알수 있도록 변경했으면 하고, 리뷰도 10단위로는 바꿔서 이용자가 바로 알 수 있게 했으면 편리할거 같네요",2
45,멀쩡히 잘 쓰고 있던 정렬 기능을 개편을 위해 삭제한 버전으로 스토어에 올렸다구요? 이게 말이나 되는 소린가요? 기능을 바꾸려고 했다면 먼저 그것부터 충분히 테스트하고 대체해야지 사용자들보고 그냥 참으라고 막무가내로 없데이트한다고? 그걸 누가 믿어요. 그게 아니라 그냥 사람들 간 보고 싶었겠지. 정렬 없어도 괜찮은지 아닌지. 진짜 개편을 위해서 그런 거였다면 그것대로 동네 구멍가게만도 못한 프로세스 수준인 거고. 여러모로 우형의 댕청함이 놀랍네요.,1
46,정말정말 보완해주신다면 삶의 질이 두배는 올라갈 거 같은 점이 있습니다... 메뉴에 해당하는 리뷰를 메뉴에 들어가면 바로바로 볼 수 있게 리뷰와 메뉴가 연결되면 좋겠습니다 맨날 먹고 싶은 메뉴에 대한 리뷰를 남긴 사람이 없나 계속 스크롤내리면서 찾아보면 시간이 너무 오래 걸리고 귀찮아요 ㅜㅜ 혹시 이미 기능이 있는데 제가 모르는 거라면 죄송하고 알려주시면 감사하겠습니당..,4
47,"평소 배달을 제가 직접시키지않아서 이번에 처음으로 깔게된 배달어플인데 들어가니까 첫구매 20000원 쿠폰을 준다고 해서 쓰려고 회원가입을 시도했는데요, 동의는 다 했고 본인 인증만 하면 되는데 이름 생년월일 전화번호까지 맞게 썼는지 몇번을 확인하고 인증번호를 받으려고 기다리는데 10번을 넘게 계속 시도해도 인증번호가 안와요. 앱도 지웠다 다시 까는걸 3번이나 반복했는데 안되고 와이파이 문제인지 싶어서 데이터로도 해보고 또 스팸문자로 왔나 해서 문자도 다 확인했는데 없더라고요. 어제 저녁 8시쯤부터 했는데 안되길래 시간이 늦어서 못보내주시는건가 하고 오늘 아침 10넘어서도 시도를 했는데 똑같이 오는건 없더라고요. 왜 이러는건지 해결해 주시면 감사하겠습니다.",2
48,"메인에서 카테고리로 진입하면 텅 비어있거나 몇 안되는데, 검색하기로 찾으면 나오는 업체수가 상당히 많네요. 카테고리로 진입하면 배달 가능한 매장을 다 띄워주는게 아닌가요? 뭔가 범위가 엄청 좁게 설정되어있는 듯한 느낌입니다. 이 문제로 앱 내 문의하기 통해서 여러번 문의했는데, 최신버전 업뎃하라는 말같지도 않은 답변이 와서 여기다 적습니다.",1
